,ID,Sweetness (1-10),R,G,B,Temperature (°C),Ingredients_Count,Rating (1-5),Liked (1/0),Brightness
count,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
mean,35.5,4.5285714285714285,191.94285714285715,157.62857142857143,122.82857142857142,26.485714285714284,2.9714285714285715,3.261428571428571,0.5857142857142857,157.46666666666667
std,20.351085147152883,2.6796140137975017,61.60672034541708,73.384271787323,73.79976266184126,29.581497770599228,1.116041510986176,0.996994448132298,0.4961549881405293,62.524285780801655
min,1.0,1.0,30.0,0.0,0.0,3.0,1.0,1.5,0.0,20.0
25%,18.25,2.0,150.0,100.0,60.0,6.0,2.0,2.3249999999999997,0.0,110.83333333333333
50%,35.5,4.0,200.0,180.0,100.0,10.0,3.0,3.3499999999999996,1.0,165.0
75%,52.75,7.0,245.0,220.0,195.25,28.75,4.0,4.175,1.0,212.91666666666669
max,70.0,9.0,255.0,255.0,255.0,95.0,5.0,4.9,1.0,247.66666666666666
